epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,455.379,1.35023,2.39896,1.23209,1,0.62366,0.995,0.57824,1.20178,3.20028,1.27543,7.0728e-05,7.0728e-05,7.0728e-05
86,459.975,1.28994,2.24546,1.29994,1,0.62366,0.995,0.57824,1.20178,3.20028,1.27543,6.73625e-05,6.73625e-05,6.73625e-05
87,464.494,1.33897,2.34386,1.17992,1,0.62366,0.995,0.57824,1.20178,3.20028,1.27543,6.3898e-05,6.3898e-05,6.3898e-05
88,469.079,1.29652,2.43855,1.14875,1,0.65763,0.995,0.60318,1.1458,3.16221,1.26667,6.03345e-05,6.03345e-05,6.03345e-05
89,473.636,1.19693,2.02702,1.22357,1,0.65763,0.995,0.60318,1.1458,3.16221,1.26667,5.6672e-05,5.6672e-05,5.6672e-05
90,478.394,1.20966,2.24717,1.16751,1,0.65763,0.995,0.60318,1.1458,3.16221,1.26667,5.29105e-05,5.29105e-05,5.29105e-05
91,483.058,1.11059,1.72659,1.13527,1,0.65763,0.995,0.60318,1.1458,3.16221,1.26667,4.905e-05,4.905e-05,4.905e-05
92,487.736,1.18595,1.96677,1.14913,1,0.70165,0.995,0.65719,1.13481,3.11935,1.2722,4.50905e-05,4.50905e-05,4.50905e-05
93,492.334,1.01337,1.61588,0.98967,1,0.70165,0.995,0.65719,1.13481,3.11935,1.2722,4.1032e-05,4.1032e-05,4.1032e-05
94,496.925,1.17499,1.83242,1.14044,1,0.70165,0.995,0.65719,1.13481,3.11935,1.2722,3.68745e-05,3.68745e-05,3.68745e-05
95,501.462,1.16738,1.89005,1.1892,1,0.70165,0.995,0.65719,1.13481,3.11935,1.2722,3.2618e-05,3.2618e-05,3.2618e-05
96,506.194,1.07527,1.74965,1.11384,1,0.84731,0.995,0.65909,1.14335,3.05497,1.28514,2.82625e-05,2.82625e-05,2.82625e-05
97,510.733,1.2337,1.84723,1.07781,1,0.84731,0.995,0.65909,1.14335,3.05497,1.28514,2.3808e-05,2.3808e-05,2.3808e-05
98,515.278,1.24073,1.91424,1.08801,1,0.84731,0.995,0.65909,1.14335,3.05497,1.28514,1.92545e-05,1.92545e-05,1.92545e-05
99,519.9,1.00204,1.68655,1.04861,1,0.84731,0.995,0.65909,1.14335,3.05497,1.28514,1.4602e-05,1.4602e-05,1.4602e-05
100,524.411,1.2207,1.87444,1.23955,1,0.8973,0.995,0.65416,1.17388,2.99918,1.29722,9.8505e-06,9.8505e-06,9.8505e-06
